1,200,Number of Islands,Medium,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix"
2,146,LRU Cache,Medium,"Hash Table,Linked List,Design,Doubly-Linked List"
3,121,Best Time to Buy and Sell Stock,Easy,"Array,Dynamic Programming"
4,2035,Partition Array Into Two Arrays to Minimize Sum Difference,Hard,"Array,Two Pointers,Binary Search,Dynamic Programming,Bit Manipulation,Ordered Set,Bitmask"
5,53,Maximum Subarray,Medium,"Array,Divide and Conquer,Dynamic Programming"
6,253,Meeting Rooms II,Medium,"Array,Two Pointers,Greedy,Sorting,Heap (Priority Queue),Prefix Sum"
7,653,Two Sum IV - Input is a BST,Easy,"Hash Table,Two Pointers,Tree,Depth-First Search,Breadth-First Search,Binary Search Tree,Binary Tree"
8,987,Vertical Order Traversal of a Binary Tree,Hard,"Hash Table,Tree,Depth-First Search,Breadth-First Search,Sorting,Binary Tree"
9,1301,Number of Paths with Max Score,Hard,"Array,Dynamic Programming,Matrix"
10,1139,Largest 1-Bordered Square,Medium,"Array,Dynamic Programming,Matrix"
11,1691,Maximum Height by Stacking Cuboids,Hard,"Array,Dynamic Programming,Sorting"
12,1464,Maximum Product of Two Elements in an Array,Easy,"Array,Sorting,Heap (Priority Queue)"
13,1519,Number of Nodes in the Sub-Tree With the Same Label,Medium,"Hash Table,Tree,Depth-First Search,Breadth-First Search,Counting"
14,1590,Make Sum Divisible by P,Medium,"Array,Hash Table,Prefix Sum"
15,1675,Minimize Deviation in Array,Hard,"Array,Greedy,Heap (Priority Queue),Ordered Set"
16,1830,Minimum Number of Operations to Make String Sorted,Hard,"Math,String,Combinatorics"
17,2029,Stone Game IX,Medium,"Array,Math,Greedy,Counting,Game Theory"
18,2639,Find the Width of Columns of a Grid,Easy,"Array,Matrix"
19,2642,Design Graph With Shortest Path Calculator,Hard,"Graph,Design,Heap (Priority Queue),Shortest Path"
20,2662,Minimum Cost of a Path With Special Roads,Medium,"Array,Graph,Heap (Priority Queue),Shortest Path"
21,2810,Faulty Keyboard,Easy,"String,Simulation"
22,312,Burst Balloons,Hard,"Array,Dynamic Programming"
23,42,Trapping Rain Water,Hard,"Array,Two Pointers,Dynamic Programming,Stack,Monotonic Stack"
24,785,Is Graph Bipartite?,Medium,"Depth-First Search,Breadth-First Search,Union Find,Graph"
25,1,Two Sum,Easy,"Array,Hash Table"
26,9,Palindrome Number,Easy,Math
27,20,Valid Parentheses,Easy,"String,Stack"
28,56,Merge Intervals,Medium,"Array,Sorting"
29,208,Implement Trie (Prefix Tree),Medium,"Hash Table,String,Design,Trie"
30,235,Lowest Common Ancestor of a Binary Search Tree,Medium,"Tree,Depth-First Search,Binary Search Tree,Binary Tree"
31,2,Add Two Numbers,Medium,"Linked List,Math,Recursion"
32,3,Longest Substring Without Repeating Characters,Medium,"Hash Table,String,Sliding Window"
33,5,Longest Palindromic Substring,Medium,"Two Pointers,String,Dynamic Programming"
34,7,Reverse Integer,Medium,Math
35,8,String to Integer (atoi),Medium,String
36,15,3Sum,Medium,"Array,Two Pointers,Sorting"
37,18,45um,Medium,"Array,Two Pointers,Sorting"
38,33,Search in Rotated Sorted Array,Medium,"Array,Binary Search"
39,41,First Missing Positive,Hard,"Array,Hash Table"
40,48,Rotate Image,Medium,"Array,Math,Matrix"
41,61,Rotate List,Medium,"Linked List,Two Pointers"
42,69,Sqrt(x),Easy,"Math,Binary Search"
43,74,Search a 2D Matrix,Medium,"Array,Binary Search,Matrix"
44,96,Unique Binary Search Trees,Medium,"Math,Dynamic Programming,Tree,Binary Search Tree,Binary Tree"
45,133,Clone Graph,Medium,"Hash Table,Depth-First Search,Breadth-First Search,Graph"
46,206,Reverse Linked List,Easy,"Linked List,Recursion"
47,300,Longest Increasing Subsequence,Medium,"Array,Binary Search,Dynamic Programming"
48,322,Coin Change,Medium,"Array,Dynamic Programming,Breadth-First Search"
49,329,Longest Increasing Path in a Matrix,Hard,"Array,Dynamic Programming,Depth-First Search,Breadth-First Search,Graph,Topological Sort,Memoization,Matrix"
50,332,Reconstruct Itinerary,Hard,"Depth-First Search,Graph,Eulerian Circuit"
51,380,Insert Delete GetRandom O(1),Medium,"Array,Hash Table,Math,Design,Randomized"
52,440,K-th Smallest in Lexicographical Order,Hard,Trie
53,450,Delete Node in a BST,Medium,"Tree,Binary Search Tree,Binary Tree"
54,704,Binary Search,Easy,"Array,Binary Search"
55,1727,Largest Submatrix With Rearrangements,Medium,"Array,Greedy,Sorting,Matrix"
56,1926,Nearest Exit from Entrance in Maze,Medium,"Array,Breadth-First Search,Matrix"
